TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
194.71,6.55,617.5583844184875,1.29763,7.48901,15.4653729647,3.66061,0.339828,1.81418,53,26.6272,24.33875,7.52027,2048,10.886074304580688,52.0
153.92,1.79,628.4591948986053,1.33591,8.38491,10.991146437,3.80346,0.65259,2.26727,54,22.9722,19.24,8.45118,2048,10.893626689910889,36.2
129.69,3.28,640.274650812149,1.31326,6.25293,6.59352037515,3.71829,0.341879,2.10577,55,14.4663,16.21125,6.28522,2048,11.808327436447144,27.0
168.33,1.68,652.6097023487091,1.31775,7.74581,11.5050949991,3.73501,0.410572,2.07048,56,25.7339,21.04125,7.80544,2048,12.327337980270386,43.0
208.08,1.9,664.0625896453857,1.30931,10.4247,11.6886772134,3.70363,0.423352,2.28222,57,34.3845,26.01,10.4704,2048,11.444929599761963,41.54
214.5,2.19,675.0182175636292,1.32376,10.6804,13.4114100209,3.75751,0.314367,1.58834,58,43.4333,26.8125,10.7498,2048,10.947711944580078,47.71
136.49,2.35,685.9580445289612,1.30571,5.82268,10.9420478402,3.6903,0.360292,1.76724,59,12.2125,17.06125,5.8541,2048,10.932523965835571,42.46
153.79,6.59,697.2528085708618,1.29581,7.71215,10.6549975804,3.65395,0.443765,2.37841,60,18.2215,19.22375,7.76854,2048,11.287682294845581,42.14
189.77,6.26,709.3263936042786,1.31489,7.40669,9.66254034597,3.72433,0.321187,1.8682,61,24.9948,23.72125,7.47575,2048,12.066149473190308,37.26
158.08,12.26,720.1858022212982,1.30404,9.26655,5.40871981156,3.68415,0.442453,2.62333,62,22.0413,19.76,9.31779,2048,10.852039098739624,27.83
177.68,12.19,731.3479306697845,1.31361,9.42135,6.42231656025,3.71957,0.405225,2.42552,63,24.5683,22.21,9.45934,2048,11.155110359191895,32.09
231.37,11.13,743.055385351181,1.30681,10.383,17.8196860505,3.69436,0.374937,2.11677,64,39.5582,28.92125,10.441,2048,11.700363159179688,56.9
148.31,5.87,754.618175983429,1.32372,8.17599,8.85514319125,3.75738,0.380827,2.28325,65,20.3799,18.53875,8.21381,2048,11.555726289749146,32.89
193.94,6.28,766.527420759201,1.31544,8.24506,10.7449717892,3.72638,0.401687,2.42926,66,20.4817,24.2425,8.28175,2048,11.902101039886475,41.64
207.32,12.31,777.4845461845398,1.31442,11.0281,9.02534625375,3.72259,0.507982,2.55032,67,30.5567,25.915,11.1158,2048,10.94945740699768,42.25
144.84,6.42,788.9231708049774,1.29875,5.5211,7.35901657832,3.66473,0.464157,2.3476,68,11.9733,18.105,5.56373,2048,11.431498527526855,30.67
186.28,7.49,799.9761514663696,1.31447,7.56543,11.9021227098,3.72277,0.461012,2.55106,69,18.2374,23.285,7.64634,2048,11.045668840408325,41.61
202.12,11.44,810.9057369232178,1.31307,7.50035,8.22595435193,3.71756,0.37606,2.31831,70,22.4378,25.265,7.5503,2048,10.92235255241394,36.64
156.3,7.01,822.1931774616241,1.33475,6.97908,13.9548734767,3.79906,0.415812,2.26799,71,23.6703,19.5375,7.03948,2048,11.280103206634521,51.26
127.98,1.84,833.0955011844635,1.31384,6.04801,8.50580941181,3.72044,0.450069,2.3846,72,12.5767,15.9975,6.08238,2048,10.895110368728638,27.22
184.2,7.06,844.166791677475,1.31047,7.40082,12.2757881621,3.70792,0.343183,2.36045,73,27.3325,23.025,7.44713,2048,11.063501119613647,41.92
172.0,7.09,855.2112040519714,1.31312,7.13291,9.63750097276,3.71774,0.254396,2.28319,74,20.3592,21.5,7.16298,2048,11.037343502044678,36.78
170.38,8.07,866.172126531601,1.31617,10.6364,8.92232417871,3.72912,0.508111,2.3126,75,30.3963,21.2975,10.7193,2048,10.95394515991211,32.87
174.1,7.32,876.9751408100128,1.32262,7.88054,9.03623504287,3.75323,0.418439,1.92338,76,20.8768,21.7625,7.93951,2048,10.795700073242188,37.04
201.31,7.77,887.965854883194,1.3289,12.3723,8.4014119907,3.77689,0.3737,1.98478,77,38.1868,25.16375,12.4435,2048,10.983578205108643,37.0
166.77,2.03,899.211133480072,1.31113,8.25454,10.5586871077,3.71036,0.307886,2.05528,78,26.157,20.84625,8.30484,2048,11.238168478012085,32.2
203.81,6.96,910.080423116684,1.31652,9.71309,15.2366227701,3.73042,0.411372,2.27988,79,31.8602,25.47625,9.76438,2048,10.861992120742798,57.05
236.27,6.61,921.2951710224152,1.30477,14.853,21.3031599402,3.68685,0.421961,2.27011,80,65.103,29.53375,14.9548,2048,11.20765233039856,67.76
176.27,16.04,932.5856404304504,1.30752,9.37286,6.75537182082,3.69701,0.426892,2.41003,81,21.3128,22.03375,9.42115,2048,11.28333568572998,37.69
138.54,2.35,943.9223430156708,1.32972,7.2234,9.11546728095,3.77997,0.447888,2.5292,82,16.1558,17.3175,7.25773,2048,11.329749345779419,27.13
148.76,7.09,954.9965896606445,1.32292,6.06891,8.00349142562,3.75436,0.368341,2.14412,83,15.9329,18.595,6.1137,2048,11.066944360733032,32.83
195.15,11.89,965.7353188991547,1.32125,9.02499,12.0307334954,3.7481,0.378678,2.22207,84,22.6401,24.39375,9.06832,2048,10.731593132019043,47.16
161.19,2.73,977.060688495636,1.31625,7.97958,8.14964636886,3.72942,0.388322,2.23692,85,19.8542,20.14875,8.04672,2048,11.318251132965088,32.21
